scenario,condition,ID,content_mean,content_variance,alpha_accuracy_mean,alpha_accuracy_variance,alpha_target_mean,alpha_target_variance,alpha0,beta,gamma,epoch,action,action_prob,alpha_target,alpha_accuracy,content,alpha_target_sd,alpha_accuracy_sd,content_sd
All,Differing-content,175,0.2,0.0225,0.2,0.0225,0.5,0.0025,1.0,10.0,1.0,epoch_3,Prior,,-0.010887996968910121,0.24366711198802862,0.16174760043952002,0.04742230399202668,0.1607954860468505,0.12485601542497278
All,Differing-content,175,0.2,0.0225,0.2,0.0225,0.5,0.0025,1.0,10.0,1.0,epoch_3,Debunk,0.78704,-0.014497223361288305,0.2640078247026757,0.14901945070834793,0.0468186100165139,0.16188832983576018,0.11465075085423326
All,Differing-content,145,0.2,0.01,0.8,0.0225,0.2,0.0025,1.0,10.0,1.0,epoch_1,Prior,,-0.29997152196996146,0.8004578544180223,0.199911564003679,0.05,0.14999999999919672,0.1
All,Differing-content,145,0.2,0.01,0.8,0.0225,0.2,0.0025,1.0,10.0,1.0,epoch_1,Debunk,0.9967,-0.3001016491346279,0.7999511263778736,0.1998678811993812,0.04990235997088444,0.15025517248233564,0.09941473567363106
All,Differing-content,145,0.2,0.01,0.8,0.0225,0.2,0.0025,1.0,10.0,1.0,epoch_2,Prior,,-0.30017006389759576,0.7993768146265325,0.19964812587580102,0.04975556535821463,0.15130455690780953,0.0995329470979925
All,Differing-content,145,0.2,0.01,0.8,0.0225,0.2,0.0025,1.0,10.0,1.0,epoch_2,Debunk,0.99698,-0.30017858951138293,0.7996883078860518,0.19888805633205375,0.04998994148794804,0.15069775639341956,0.09861934069226419
All,Differing-content,145,0.2,0.01,0.8,0.0225,0.2,0.0025,1.0,10.0,1.0,epoch_4,Prior,,-0.2996063553314964,0.7992936027848782,0.19698031801951033,0.05012812213285525,0.1516530569324331,0.09710036451107797
All,Differing-content,145,0.2,0.01,0.8,0.0225,0.2,0.0025,1.0,10.0,1.0,epoch_4,Debunk,0.99757,-0.2996817162297244,0.7997569038649822,0.19622305148555347,0.05012537772904496,0.15164810026293604,0.09621685784443891
All,Differing-content,145,0.2,0.01,0.8,0.0225,0.2,0.0025,1.0,10.0,1.0,epoch_5,Prior,,-0.300124482391059,0.8007324266892257,0.19524781844417513,0.04977570339443044,0.15224341771077435,0.09678810181048594
All,Differing-content,145,0.2,0.01,0.8,0.0225,0.2,0.0025,1.0,10.0,1.0,epoch_5,Debunk,0.99716,-0.2996923537087741,0.7995295667805699,0.19498323164071849,0.049727397592054676,0.15259416504546705,0.09649336100278615
